source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
354685856-sn/354685856-sn	main	2	1	1	0	0	1	1	1	5bf8d89e1299d3f2f926db6304e8660e179aeb322195adb847a05792da3ff1f2	ok	
gloweaseco-leo/gloweaseco-leo	main	3	1	1	0	0	1	1	1	5141c365e3995b730bcac25a425cd783d9eac7e8f9e6df92ca826379b6e130cd	ok	
mcfordblessings2-cloud/agent-orchestra-bootloader	main	5	1	1	0	0	1	1	1	01781315907ba80365ba349e47f7a278ddc4d85b6af4819605c67685600a6d91	ok	
AmazingPeach/agent-startup-map	main	6	8	1	0	0	1	8	8	3e2208a3e7af2401c880da525c68b5bf4626d331002ea36818e9561cb571a4db	ok	
IshiharaHaruki/awesome-loop-engineering	main	7	3	1	0	0	1	3	3	a1cd79be2c3310211fa720d6afe55d165fa5872d7336916681077db1b7af9f94	ok	
netsky-prod/harness-spectrum	main	10	11	1	0	0	1	11	11	28377341e593c63a452390d2f2ad70a6bc213b707fd2ce6052be522064199f6a	ok	
cogimanus/my-harness	main	11	28	1	0	0	1	28	28	4e61ea2ef3c02e196a5436e322425d79245ee85f6e5a0fdd67d7df37ec5d32b6	ok	
liuchao1637/longrun-agent-harness	main	11	24	1	0	0	1	24	24	50b0211412d537bbf0498fa7fd1b8ec290fdbff555c9189726053a749521796f	ok	
Edge-Explorer/Kaggle-SAE	main	13	6	1	0	0	1	6	6	7e992e1a8fc83a85748fe71aa2fadc9de978ec61ce0eed09806ecf2368275d2e	ok	
qwc2869/product-to-tiktok-agent-ralphthon	main	13	27	1	0	0	1	27	24	3ba34ca114dce56ea955ed012f67c82b5ea3207d2f9af5e66c208e14a7a3ee9f	ok	
assimovt/harness-from-scratch	main	15	22	1	0	0	1	22	22	580f7ee5a4e72b64259cc8aaaefeb72a47e82af3d9f25e8d2e5f12a896ce76a9	ok	
354685856-sn/claude-code-skills	main	16	15	1	1	0	2	30	15	8388fc069d841b1bb153b5ead8f43f42e07bee237deccc9617d7ebf3f7ae5a20	ok	
Anandesh-Sharma/awesome-agent-harnesses	main	17	3	1	0	0	1	3	3	bbb69ad8ca1516cce86e4cbb61fed90fd8c87bbd51989be4bca3efcb9d4e6f93	ok	
Mrbaeksang/solopilot	main	17	10	1	1	0	2	20	14	401980c835f7b34f4c6638a180797063734c0e2119505a4cdc8226b59476c69c	ok	
354685856-sn/claude-obsidian-learning	master	17	7	1	0	0	1	7	7	76f49979eedcde2023bba4ec293e5b2e3f8c40baeeaa8c251fc8ef4226840a59	ok	
BraveCowNoFear/BraveCow-Harness-Codex	main	18	21	1	0	0	1	21	21	6dd9a451c7907c30f96e26de0397d3655a185ba47bb356b7b6f42034e08dd950	ok	
yufengtianyufeng/agent-harness-workflow	main	18	25	1	1	0	2	50	25	ff61c1e00d75e3b064ade636ab326ec9909b1c75a4b7c3e2f9825ba1a88bf689	ok	
aaravriyer193/Agtx-code	main	20	20	1	0	0	1	20	20	3ffcd2c3e088216a031a89df93002cdbc693abfd586be6e33e4cf247338fd86b	ok	
anthony-maio/agent-harness-90m	main	22	28	1	0	0	1	28	25	e44c19dce27cd102b7ec2aab15d750777be58f91edbefc0666f3aa0d2d59fe0e	ok	
netsky-prod/meta-harness	main	22	27	1	0	0	1	27	27	71e9d44935c71ff916c1ec543a31ce0fb92710314f4747ce007ef3f841a09770	ok	
luislozanogmia/fixingrok	main	23	10	1	0	0	1	10	10	f1f53dfca2c3c89c7ca025e31c06976baa70e81cfc1fda98e09b01049378e0dd	ok	
ganimjeong/Harness-for-claude	main	24	28	1	1	0	2	55	29	7bd42607da18c9d7f7e35ed887d566e1a78c63196d05a21b524ad2f09b3456ac	ok	
Arthurescc/harness-creator	main	25	10	2	0	2	4	40	13	a000465ea47a66f6a9d39028b92f99903e6267da023ae549c653bb44200490f9	ok	
Botfather90/digiton-agent-fleet	main	25	22	1	0	0	1	22	22	c676b2ee6f3d8ce3166250322f9059e6ea59d0f8bdd731c646e88bbd7fe27e79	ok	
hanlinlibham/able-harness-kit	main	26	15	1	2	0	3	42	19	10e85bc666e8212d3d6aa3d5247d4a826d225da895a981fc5acdbf2d66399041	ok	
NullNyx/just-harness	main	28	43	1	1	0	2	82	47	f9131af0d6ac1afcbfdd3108d19b982beb35ea97038a9f3607d0296d60e7bf62	ok	
nanawanzii/deli-autoresearch-skill-protocol	main	28	13	1	1	0	2	20	16	0c6f034b6ce58b813419a817a1677aa588db1b58732f74b9ee46d95ce070a641	ok	
jiangyinzuo/agentic-software-engineering	main	28	19	1	0	0	1	19	19	dd3d969df924d7ad27a5439e97be85cfdcf7c9414fd93ca3555578c8144dff3c	ok	
qazasd2518995/helmsman	main	28	23	1	0	0	1	23	23	59a56ae452c3871126d54c031d5f151a68bc8bb7f6f4dc284598d19f0887b49a	ok	
selfradiance/agent-interrupt-receipt	main	28	25	1	1	0	2	50	25	ed14ad2396feb4f797da98dee71ba03da9a199362c384d3606935e5cd240e6c0	ok	
