source	default_branch	size_kb	content_status	file_count	content_sha256	failure
Picrew/awesome-agent-harness	main	472	ok	53	e340e5d7ed50f7af48513efd4de4e0aba415feeddda94b801edfa62569c1d203	
manthanguptaa/water	main	665	ok	274	adfa92b2f4a045a24e807c31986a791e6099d36358489d55ad94e567d8493986	
shamspias/customizable-gpt-chatbot	main	3915	ok	138	52a37005dedc528ec6f5152a1340ee1922c0fbf73b4f205e4e92f2c87b582772	
ai-boost/awesome-harness-engineering	main	423	ok	12	38580278f15c51724e1cd81f97673d3471c7b9a3751cbe9fbce63b5f0722d05a	
LearnPrompt/cc-harness-skills	main	34	ok	43	5bd5008820658429d9d7e38b2424122f480c6c5d710f20c00819360140ee86e2	
mattolson/agent-sandbox	main	1925	ok	361	4e5b0ef0b7ef6edbf153edd5cdbfb9d146839daaed03afcef0962952a9f94fc3	
0xNyk/lacp	main	2974	ok	462	1e958094c2b0998c62d44cf19c2edb79f80a60f642d241c9001fee966c9d66a8	
enmanuelmag/agent-harness-kit	main	1346	ok	135	ec2301636215cc2c180e2d5a20fac2aa0655fe81e70d0eb5d5d3266ebb876d45	
AI-Builder-Club/skills	main	1364	ok	25	0c4c3c52ae1b17c6c3d6b806dac07394e1d43dfe9e9f41c8790640e2572eda54	
zhnt/loushang	main	4903	ok	1364	0d050d6411b8757cf9c8481afc650f856d5cd6f92c19fa172798bbe675563881	
exon-research/genomi	master	3698	ok	459	6b16d1820cdb340628aef674092d9a9a60cb6a909e4e2409f625edf87c875b47	
Magma1321/mythos-agent-pipe	main	119	ok	6	13a5d32281174d0c8dc7a8bb3023a4d617ab16587c0c5cfdef385d3dce6fd299	
inngest/utah	main	466	ok	81	4911f6c576c7a1010e04996cdffc780ce6010427e52eeb20490dcacabf30a190	
RightNow-AI/AutoMegaKernel	main	1418	ok	167	92f107669ac516523c2a7b148bf7348a90bc45bbd1d90a271cee10417803ee9e	
deepfates/cantrip	main	3693	ok	173	921f2403ad550859fbd34fb1acb135c5ad05c62fefb92c2154a79ce3383150d6	
SonicBotMan/SoloFlow	main	2762	ok	73	dfb53a87ecc23f16c14f1fafb89f0d7b97f3d1e521ae3d121e7706ba5b96a3f5	
RUCAIBox/awesome-agent-harness	main	4706	ok	5	db20d2bf7fdb97e8fd85eb28c17f7a20d0c7b4956fd3e693bdb81401c48fe456	
7-e1even/learn-agent	main	366	ok	84	e47b99180cfb888ff6589208a9c2a5fa27e3a34ff3ee0b15f7bb9d6e0a04d443	
shamspias/reins	main	471	ok	179	98bd2991f259e449d9eeba5b089b4c67f4f598b33f866f1bcd5a8a1e7609bddd	
vitaliikapliuk/modelharness	main	105	ok	193	cd30b7d48518886d415d671f525c462c47a428b4190158e3d93120a4946c56b3	
