lobehub/lobehub	https://github.com/lobehub/lobehub.git	canary	2026-07-06T21:47:25Z	800265	79547	NOASSERTION
Mintplex-Labs/anything-llm	https://github.com/Mintplex-Labs/anything-llm.git	master	2026-07-06T21:56:09Z	85179	62696	MIT
agentscope-ai/QwenPaw	https://github.com/agentscope-ai/QwenPaw.git	main	2026-07-06T21:24:23Z	88727	20934	Apache-2.0
holaboss-ai/holaOS	https://github.com/holaboss-ai/holaOS.git	main	2026-07-06T16:12:09Z	58410	5490	NOASSERTION
peteromallet/desloppify	https://github.com/peteromallet/desloppify.git	main	2026-07-06T20:38:35Z	27722	2965	NOASSERTION
ai-boost/awesome-harness-engineering	https://github.com/ai-boost/awesome-harness-engineering.git	main	2026-07-06T21:36:20Z	423	2831	NOASSERTION
trustgraph-ai/trustgraph	https://github.com/trustgraph-ai/trustgraph.git	master	2026-07-06T18:31:09Z	101860	2268	Apache-2.0
limecloud/lime	https://github.com/limecloud/lime.git	main	2026-07-06T19:20:44Z	246866	1458	NOASSERTION
Picrew/awesome-agent-harness	https://github.com/Picrew/awesome-agent-harness.git	main	2026-07-06T15:34:36Z	472	1423	NOASSERTION
tmgthb/Autonomous-Agents	https://github.com/tmgthb/Autonomous-Agents.git	main	2026-07-05T20:23:38Z	31988	1337	MIT
first-fluke/oh-my-agent	https://github.com/first-fluke/oh-my-agent.git	main	2026-07-06T17:43:02Z	66961	1152	MIT
thClaws/thClaws	https://github.com/thClaws/thClaws.git	main	2026-07-06T20:32:14Z	39466	1145	Apache-2.0
Team-Commonly/commonly	https://github.com/Team-Commonly/commonly.git	main	2026-07-06T21:56:25Z	52057	1078	NOASSERTION
Chorus-AIDLC/Chorus	https://github.com/Chorus-AIDLC/Chorus.git	main	2026-07-06T15:34:54Z	118366	1064	AGPL-3.0
AI-Builder-Club/skills	https://github.com/AI-Builder-Club/skills.git	main	2026-07-06T16:37:19Z	1364	779	NOASSERTION
mateaix/mateclaw	https://github.com/mateaix/mateclaw.git	dev	2026-07-06T13:40:42Z	32736	702	Apache-2.0
desplega-ai/agent-swarm	https://github.com/desplega-ai/agent-swarm.git	main	2026-07-06T21:24:03Z	163776	578	MIT
zhnt/loushang	https://github.com/zhnt/loushang.git	main	2026-07-06T21:27:09Z	4903	522	Apache-2.0
AutoJunjie/awesome-agent-harness	https://github.com/AutoJunjie/awesome-agent-harness.git	main	2026-07-06T11:56:55Z	14999	473	NOASSERTION
SponsioLabs/Sponsio	https://github.com/SponsioLabs/Sponsio.git	main	2026-07-03T04:24:42Z	19403	465	Apache-2.0
exon-research/genomi	https://github.com/exon-research/genomi.git	master	2026-07-05T10:23:07Z	3698	459	Apache-2.0
clawdotnet/openclaw.net	https://github.com/clawdotnet/openclaw.net.git	main	2026-07-06T11:00:31Z	23635	432	MIT
ruvnet/metaharness	https://github.com/ruvnet/metaharness.git	main	2026-07-06T21:57:14Z	24165	427	MIT
shamspias/customizable-gpt-chatbot	https://github.com/shamspias/customizable-gpt-chatbot.git	main	2026-06-30T20:12:14Z	3915	395	NOASSERTION
agentic-in/inferoa	https://github.com/agentic-in/inferoa.git	main	2026-07-06T18:23:01Z	245927	394	Apache-2.0
deonmenezes/mantishack	https://github.com/deonmenezes/mantishack.git	main	2026-07-06T19:46:23Z	27356	364	Apache-2.0
Gloriaameng/Awesome-Agent-Harness	https://github.com/Gloriaameng/Awesome-Agent-Harness.git	main	2026-07-06T15:38:14Z	21133	299	CC-BY-4.0
manthanguptaa/water	https://github.com/manthanguptaa/water.git	main	2026-06-25T11:29:20Z	665	293	Apache-2.0
0xNyk/lacp	https://github.com/0xNyk/lacp.git	main	2026-07-06T16:29:18Z	2974	288	MIT
RyanAlberts/best-of-Agent-Harnesses	https://github.com/RyanAlberts/best-of-Agent-Harnesses.git	main	2026-07-06T19:14:42Z	3873	250	CC-BY-SA-4.0
omnirexflora-labs/omnicoreagent	https://github.com/omnirexflora-labs/omnicoreagent.git	main	2026-06-26T06:00:41Z	15876	244	MIT
LearnPrompt/cc-harness-skills	https://github.com/LearnPrompt/cc-harness-skills.git	main	2026-07-06T08:33:11Z	34	221	MIT
Intelligent-Internet/zenith	https://github.com/Intelligent-Internet/zenith.git	main	2026-07-06T20:55:15Z	15483	208	Apache-2.0
ReinaMacCredy/maestro	https://github.com/ReinaMacCredy/maestro.git	main	2026-07-06T19:51:08Z	36597	207	MIT
bitrouter/bitrouter	https://github.com/bitrouter/bitrouter.git	main	2026-07-06T17:32:20Z	6051	199	Apache-2.0
mattolson/agent-sandbox	https://github.com/mattolson/agent-sandbox.git	main	2026-06-25T13:53:40Z	1925	187	MIT
Zleap-AI/Zleap-Agent	https://github.com/Zleap-AI/Zleap-Agent.git	main	2026-07-06T09:51:47Z	8223	177	NOASSERTION
sd0xdev/sd0x-dev-flow	https://github.com/sd0xdev/sd0x-dev-flow.git	main	2026-07-06T02:13:58Z	6158	173	MIT
enmanuelmag/agent-harness-kit	https://github.com/enmanuelmag/agent-harness-kit.git	main	2026-06-28T05:34:47Z	1346	172	Apache-2.0
Magma1321/mythos-agent-pipe	https://github.com/Magma1321/mythos-agent-pipe.git	main	2026-07-06T21:42:19Z	119	151	NOASSERTION
romiluz13/cc10x	https://github.com/romiluz13/cc10x.git	main	2026-07-06T11:15:54Z	8910	150	MIT
RUCAIBox/awesome-agent-harness	https://github.com/RUCAIBox/awesome-agent-harness.git	main	2026-07-06T17:12:06Z	4706	140	MIT
inngest/utah	https://github.com/inngest/utah.git	main	2026-07-06T17:48:16Z	466	132	Apache-2.0
UnicomAI/UniHarness	https://github.com/UnicomAI/UniHarness.git	main	2026-07-01T02:31:55Z	5749	125	MIT
deepfates/cantrip	https://github.com/deepfates/cantrip.git	main	2026-07-06T06:24:03Z	3693	119	MIT
wulawulu/learn-claude-code-rs	https://github.com/wulawulu/learn-claude-code-rs.git	main	2026-07-06T14:53:37Z	1587	115	MIT
RightNow-AI/AutoMegaKernel	https://github.com/RightNow-AI/AutoMegaKernel.git	main	2026-07-06T14:48:50Z	1418	100	MIT
SonicBotMan/SoloFlow	https://github.com/SonicBotMan/SoloFlow.git	main	2026-06-17T14:45:49Z	2762	100	NOASSERTION
shamspias/reins	https://github.com/shamspias/reins.git	main	2026-07-06T04:59:21Z	471	90	MIT
mturac/everything-openai-codex	https://github.com/mturac/everything-openai-codex.git	main	2026-07-05T03:39:00Z	24372	83	MIT
7-e1even/learn-agent	https://github.com/7-e1even/learn-agent.git	main	2026-07-06T15:35:23Z	366	82	MIT
WanLanglin/-awesome-cc-harness	https://github.com/WanLanglin/-awesome-cc-harness.git	main	2026-07-06T15:08:14Z	7946	74	NOASSERTION
smartcomputer-ai/lightspeed	https://github.com/smartcomputer-ai/lightspeed.git	main	2026-07-06T15:28:40Z	7165	69	Apache-2.0
genai-io/san	https://github.com/genai-io/san.git	main	2026-07-05T11:57:12Z	29554	66	Apache-2.0
