source	default_branch	head_count	tag_count	pr_ref_count	all_ref_content_status	chunk_id	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	evidence_path
limecloud/lime	main	1	99	43	ok	chunk-0020	143	560012	34358	46d117f50d7d3f1d603912bb338c03ca1ac9476db362cbdb27cba266ba771cc9	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0020-2026-07-07.tsv
agentscope-ai/QwenPaw	main	4	87	2936	ok	chunk-0019	3027	4090888	20894	a7d2a9ee78f6604dfce529265d250b69b6a54f97b26807daf28d812f1b9a5b4f	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0019-2026-07-07.tsv
tmgthb/Autonomous-Agents	main	1	0	2	ok	chunk-0016	3	39	24	afa9df37c9c08d7ee732508ac0deaffb3565a992c0a22946432aabff41179e8c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
Picrew/awesome-agent-harness	main	1	0	50	ok	chunk-0003	51	2053	163	d5a5c43aaf825cc3169645fa2798b6b64c6963436256840d65e5e78703951abb	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
holaboss-ai/holaOS	main	37	1	374	ok	chunk-0017	412	306746	6614	3b1ad9aa275a5807d719b6c5a4dc348a6f3e66072a8fac5e9720c4e579050926	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0017-2026-07-07.tsv
first-fluke/oh-my-agent	main	7	492	566	ok	chunk-0017	1065	1394018	13501	05c6bb920f97a7664d198a720fa5c486c9237d8b0a6bf1a78aad35fb15c861e4	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0017-2026-07-07.tsv
Mintplex-Labs/anything-llm	master	114	33	2119	ok	chunk-0019	2267	1997863	24983	372eac422c9fca0f5a4fdf34cf722cc5f6e869258f8b48959e3fd16860c698e6	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0019-2026-07-07.tsv
trustgraph-ai/trustgraph	master	81	560	914	ok	chunk-0019	1555	1424750	10722	6897d49a33a1d9dd9e7db1681b77dc3aa5d937d8cc559d7a4c42ae045eaa0195	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0019-2026-07-07.tsv
ai-boost/awesome-harness-engineering	main	4	0	188	ok	chunk-0003	192	2306	194	8f44303760969a15206361f810a1e705fb24a8802671a060194bca6ffc770065	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
peteromallet/desloppify	main	4	10	293	ok	chunk-0015	307	383886	7324	738f44a6a1d6c2c79d3ac3543247143ac195b84fe24fbf110a88ba92666fb37a	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0015-2026-07-07.tsv
thClaws/thClaws	main	13	141	88	ok	chunk-0016	242	93640	2924	522eda1454e304eba1b66113d862c02031bbbc06eddd2bbc9138e7cdc35b8581	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
lobehub/lobehub	canary	722	2949	9441	ok	chunk-0021	13115	82163840	150236	d6c6237df9bb2477a58574b1ff7617a6db94b55de10e7143b065bcc5cc4607b0	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0021-2026-07-07.tsv
Chorus-AIDLC/Chorus	main	46	32	372	ok	chunk-0020	454	367184	4728	6350c669e90c82e4b22dad4f9defdf6ba7aa65e0cb6d28a74563ea80de5d479f	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0020-2026-07-07.tsv
AI-Builder-Club/skills	main	2	0	8	ok	chunk-0004	10	253	54	7257e91587dde6f87e85adc5575b2399708a90b5ec41654363cb5b48090f8542	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
mateaix/mateclaw	dev	2	13	158	ok	chunk-0016	173	442413	6666	7de233930907fdc97091827995b3920a4e77a27787d10356d07f1aa6ad49b0be	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
desplega-ai/agent-swarm	main	764	133	882	ok	chunk-0020	1778	2699507	12640	6ed1d7638037c25c53caf99f4d1f5c5e3961e30250bf4d4c95c3e4c2f5a63664	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0020-2026-07-07.tsv
zhnt/loushang	main	3	0	182	ok	chunk-0006	185	213748	3347	ebef3971079fd7738fa4f648f3b4bee04385c51d3e964904c3dbffa8a1167933	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
AutoJunjie/awesome-agent-harness	main	3	0	40	ok	chunk-0012	43	934	46	333f923a30a7e1b5333d20c70aa7413601f880cf461c9d52b9e3924fd080ea7c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0012-2026-07-07.tsv
