source	default_branch	size_kb	content_status	file_count	content_sha256	failure
peteromallet/desloppify	main	27722	ok	1691	48a89c9495f3e3d89817075b8483944a25937673c8f5b0a99f57a697220c0379	
tmgthb/Autonomous-Agents	main	31988	ok	15	b561bbddd1735ba746d0616d47bf9c9ef23596e8395643416c75e87041252f9e	
AutoJunjie/awesome-agent-harness	main	14999	ok	22	b0ac6e3c9b42dbe6e49b2b8d98c4e401b6442fa303dfe4972520b96868e98164	
mateaix/mateclaw	dev	32736	ok	3169	6140c5141e3e969aeb477971d49e7a20b2b5c8af1cfbfcaa041001d5bea2820c	
clawdotnet/openclaw.net	main	23635	ok	1498	b916596e59af31e9e91d85a326fc045e681f476082d96f7012129be8ad9ce5c0	
ruvnet/metaharness	main	24165	ok	3761	8cb2b848b9708ef3345e1788d937b7da899eb8be746932adff4a7aaa04d6be1f	
thClaws/thClaws	main	39466	ok	638	51973f0818f73787aad3c3bae291e34623216d1a45d004abbf37989241ee0b33	
SponsioLabs/Sponsio	main	19403	ok	567	1e7fc536a5bce4fe74da94b1bdc00cbdf254a7445e8b637ed1167956f8838923	
omnirexflora-labs/omnicoreagent	main	15876	ok	374	d3b3047f74cea0744ebdf9e3224af374a241e32b0e5219d4e80408451b7c9a8f	
deonmenezes/mantishack	main	27356	ok	5393	5b8e24cc55486354005bfef3a64263274a908ca1868689bd9427b52688dcdb67	
bitrouter/bitrouter	main	6051	ok	506	899f30028cd49c373ad4fd6c484a670bc78a8545638ffeeef8834b928170486a	
Intelligent-Internet/zenith	main	15483	ok	84	9b46b7e75c392628929845ae888471337dec082561cc75f371015dcd00f832f0	
sd0xdev/sd0x-dev-flow	main	6158	ok	689	cd789f5a753b1ae488a03dc3bfdce29b687e5aa63936fe6b46bf1a0a0ad088c0	
romiluz13/cc10x	main	8910	ok	154	5d28e9c6ac620ae64dd32b1506da5c6cf2b10d6272a4aaa8c2cc869e9c837518	
Zleap-AI/Zleap-Agent	main	8223	ok	721	27951c64aab6e326d77f8daffe483d6cc8e2ffd23bac8bf51400ffb6ca0031a8	
UnicomAI/UniHarness	main	5749	ok	307	141680af34e8780d2f187650b1f2063cd91d0beae0648dbbf041b4e5307700ea	
ReinaMacCredy/maestro	main	36597	ok	626	b3bc3f10659ba2f8d7f2479d34ae2a6868764a8373c1d19ffe6e4f97f14ca5a3	
WanLanglin/-awesome-cc-harness	main	7946	ok	80	73aec3b45eab9e2a50631ba52cca73cc354b3b0d7cebe1425619da1eabe20882	
smartcomputer-ai/lightspeed	main	7165	ok	516	14e87e49c3daeb2773df2330f8cdea22e8ef165fcc38387c9bf2320077a6307c	
mvschwarz/openrig	main	10087	ok	1715	330780f7cf940063e646dd99b30d89fe72379bdd0719a5e74d1b85a47df5f5c8	
genai-io/san	main	29554	ok	708	8485cb68d7281ecb4e140fd6013f6d0aeb796e2596b2518806d21e73006c0e9b	
Gloriaameng/Awesome-Agent-Harness	main	21133	ok	11	99ce295e446d22f9d4da48d0c86550572f347308bfe580aa40fc6f401b93f14f	
SihyeonJeon/why-was-fable-banned	main	8315	ok	64	ccfc2f72f267c349096520d52238b1850b85cbbe99fa13c28cd7d8b48534b9a5	
xiaonancs/claude-code-source-analysis	main	17325	ok	38	b120b8137a9105e75742fd1ee469391b1d6dfee52186e250303248febeaf5d02	
agenticenv/agent-sdk-go	main	22574	ok	405	e59519f81a066e06d7f68a688c06dc8482f28b7803ca68fb94a07189454ff106	
whut09/paper_agent	main	8583	ok	122	941c7a9ad2328aba0090d0bda26e83f3552efe8b195af8579d464ce57042e2d4	
majiayu000/vibeguard	main	6854	ok	748	f646920bddfd229b9967d31af8b5aa5940b8a241e7df9fea6bcf49dbb56bbbb3	
