source	default_branch	stars	license	readme_status	word_count	line_count	families	evidence_terms
lobehub/lobehub	canary	79547	NOASSERTION	ok	2301	554	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	curat|model|docker|terminal|shared|History|context|lint|api|task|Phase|install|ci|Project
Mintplex-Labs/anything-llm	master	62696	MIT	ok	2039	321	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,harness_taxonomy_curation	Model|environment|tui|message|cron|QA|token|prompt|security|api|Task|workflow|install|CI|rules|query
agentscope-ai/QwenPaw	main	20934	Apache-2.0	ok	3600	556	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|Qwen|VM|preview|channel|loop|qA|history|Skill|Security|api|task|Guard|marketplace|ci|project|with Skill|Topic
holaboss-ai/holaOS	main	5490	NOASSERTION	ok	1929	235	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	runtime|environment|dashboard|lock|long-running|token|learn|Safe|tool|task|workflow|Install|ci|template
peteromallet/desloppify	main	2965	NOASSERTION	ok	1309	151	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	claude|worktree|session|conflict|loop|candidate|prompt|lint|tool|plan|State|install|check|project|score
ai-boost/awesome-harness-engineering	main	2831	NOASSERTION	ok	22090	576	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	Awesome|model|sandbox|session|lock|loop|benchmark|Observability|context|Permission|tool|plan|State|package|ci|template|Eval|Harness Engineering
trustgraph-ai/trustgraph	master	2268	Apache-2.0	ok	1754	201	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|model|environment|Terminal|message|receipt|token|context|safe|api|spec|workflow|package|ci|project|eval|query
limecloud/lime	main	1458	NOASSERTION	ok	461	251	runtime_capability_matrix,skill_memory_hygiene,tool_augmentation,state_machine_tool_policy,extension_preset_bundle_registry	model|prompt|search|workflow|install
Picrew/awesome-agent-harness	main	1423	NOASSERTION	ok	9978	474	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	Awesome|integration|sandbox|session|shared|loop|benchmark|Observability|Learn|safe|tool|plan|state|manifest|Ci|project|Eval|harness engineering
tmgthb/Autonomous-Agents	main	1337	MIT	ok	42155	3785	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	taxonomy|Qwen|environment|session|Shared|Autonomous|judge|provenance|Memory|policy|search|task|State|Bundle|ci|project|Eval
first-fluke/oh-my-agent	main	1152	MIT	ok	2101	352	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|Claude|worktree|Monitor|coordination|Loop|QA|observability|skill|egress|tool|spec|workflow|package|ci|.agents|score|query
thClaws/thClaws	main	1145	Apache-2.0	ok	2457	327	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	list|Gemini|worktree|terminal|lock|loop|judge|token|prompt|permission|tool|task|workflow|install|ci|project
Team-Commonly/commonly	main	1078	NOASSERTION	ok	2787	394	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,harness_taxonomy_curation	list|Claude|pod|board|lock|loop|history|memory|secret|tool|plan|workflow|Marketplace|ci|project|taxonomy
Chorus-AIDLC/Chorus	main	1064	AGPL-3.0	ok	2841	444	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	List|cursor|Docker|session|heartbeat|wake|reviewer|observability|skill|permission|search|task|workflow|preset|ci|project
AI-Builder-Club/skills	main	779	NOASSERTION	ok	885	122	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Claude|isolate|board|shared|loop|skill|plugin|task|marketplace|ci|template
