source	default_branch	head_count	tag_count	pr_ref_count	head_tag_sha256	pr_refs_sha256	readme_status	readme_sha256
limecloud/lime	main	1	99	43	5b6e1f85d5bbcff7a3c30a915f9ee3752af1c019e55df99df343d4e7e8435cbb	ae3aaeee5751956507d6cb8f60a27ad2bbb3c2365fd721755047e783c332f2f3	README.md	74c367bda21cac48f33bf31d8a9237d85d383318aaada48b1762f6a1b18df552
agentscope-ai/QwenPaw	main	4	87	2936	bd9748e92791ba3f999a9c0e531f73b3628c3760b0583c0d8253eba163926131	3386ba6cf3e096ca98f7027d2d592fd9bdcda5a51f27ddc7f558dd02d8ea5435	README.md	29315ae87c914f3369925d2a371171fd936662c7624d595236ffbd74d0825115
tmgthb/Autonomous-Agents	main	1	0	2	d868c0942d6d3a2bd2e33124b7e06d9fbe585f979044bc0335e84630a8a7acaf	21c2bf1d5df41af35e26c904eb8df09ccc23cd64aedb4169f33840f39c9d7d53	README.md	8181f86ac9faf99180152462dcbc55f1178de67fdb15031031741b6a9fbbcf55
Picrew/awesome-agent-harness	main	1	0	50	d10b90a8a2088d24ebf379c936c00a20e06a26845e75647e6d2ce25b4270f27a	5f8c1902844e249b7441f7372563b2537504700bb975467df7c7585271d4396f	README.md	d2bbf62e2c9e412b9fd9ce0ac171190c18b4b7495ac31065c231c3eb215b3a5b
holaboss-ai/holaOS	main	37	1	374	f3ca2f7983268c7ccdcd769028cab0d57b65e5f49d463f55352739f128b63755	4420a4737c49319d9a067fb51f4b8002f0f4f0f6b4594b21bd95c0ff350e080f	README.md	73ab776c9153c1d254a2a5500300400f65ca48a523794ff60957d70fb85ce1c3
first-fluke/oh-my-agent	main	7	492	566	97f9d496650430819677ebdc20a7411a535e0155432c335d1e68513f868dbbe1	57f15ca0edc42649ea310dced80972f186ba24e85308157a430f278e2ddc689d	README.md	38a6c45a1cdf86d029d6675cff76bc0c6e8936731d9f131abbe7f84f5132a3dc
Mintplex-Labs/anything-llm	master	114	33	2119	b47cd6ac53c320f21c3bdefa71fe7e6577e06e39df5647e20f47bfb02268b12e	f3297f5e63902e167bbcb51b1428da449cddc43f926760598ba68a884f852ccd	README.md	31e19cf5ff75054f3fe040a3305dc37e62129e329558bf58ed236989bd2e8669
trustgraph-ai/trustgraph	master	81	560	914	28648c3e956268d5194ccb7a3848827ba52b38f8b672ac9dda383cc931e14ff9	ae8f74049065f9e1848b989640ee009ebeb856062bae9b42eab7f03df4165e96	README.md	4680ccdb5aec118dbffe443c61996dae2799dd7f87f23f3625ff6b76499c50e0
ai-boost/awesome-harness-engineering	main	4	0	188	45063e344c82c95fabcaafb724bea3db89998831880144f8f165cb387c2c74bb	a990a78614a5b597c9898608f2998ab9f908c1b8a85cea035408aa2d8d71af17	README.md	3e502c1ddaab793b20a6337204ff6a88e284e3f754ca87fe888591a274066c83
peteromallet/desloppify	main	4	10	293	2eb58a59eccfe866ec6bae57e3b6e6e2f234ea63fba4da589d5baf31582f5279	4de15945ae28948992ac1c5c6a573d90a9a934e9377d35ac2d1ff4837a72d8f1	README.md	4dcaf389299b071a9e954e05019f49024ed59af2d14cf52836f4e1e029829451
thClaws/thClaws	main	13	141	88	d3512b342d0c92fcb85127bfff5a5b28b446cd140d2ce27ad03313eeb220ae08	b521c0a7f2b88f879aacaf2a8814b8186c7909d4de8c3ca413262e026b62ad08	README.md	a4513addde90cbd239fb32bbc3d07e5b5895b289a0f8508f0b46ee1522d3da39
