source	default_branch	tree_status	file_count	tree_sha256
Picrew/awesome-agent-harness	main	ok	53	77cf773532a856578cf8c085747a24a055f7e601f08cee986693d4ffb2051754
ai-boost/awesome-harness-engineering	main	ok	12	4145f4478897379a005e100b73eea28a61289d230d757158d382b8e17a327c06
tmgthb/Autonomous-Agents	main	ok	15	52357f7e5d0ed8f40f8570db1ea2ca3584c8a1ee2cd66540db8ecd7c604e2ddc
thClaws/thClaws	main	ok	638	925c8e99f2020aea336e244fbff91791b47bdd166387546206fc54e9a93fb973
trustgraph-ai/trustgraph	master	ok	1849	ac7076944bd7e925306d71df7782128e724d77140a47567a4ac3ba5a978ba306
Team-Commonly/commonly	main	ok	1283	08fc5f3a0ceacf1fce28959ba8e1c777f454df38acd22feec356bf5bd11451ca
AI-Builder-Club/skills	main	ok	25	dfd167cbd10aa71957e8e6dbb400b177fc7776f3a5428c8bcc078b1b62cd20b7
first-fluke/oh-my-agent	main	ok	2530	e6b57c4430c89b4d8d74005592e1cbab01d7336d0b4def2e252ae90259502cba
mateaix/mateclaw	dev	ok	3169	9007e94ab3b0bc1949d277c9d20db63b076797252a3ef0461b913e99233c2a43
agentscope-ai/QwenPaw	main	ok	2608	9924f7b44feae7c0755fdbc9643f7dd42af7862847c6a7f894b901d8e9f34e9e
AutoJunjie/awesome-agent-harness	main	ok	22	b53ff6d4e5da2803303363a8d6f4d0601e8f2acb1864e6dce048f6ece7ee1803
holaboss-ai/holaOS	main	ok	1455	3764cf70cc670743b0c7189b5d234e44165522ce04663338e9305b201880166c
zhnt/loushang	main	ok	1364	d8571adf214bd66bf328c901a94c5f0f6d6b52fe97163ed8d3169de6dc80241e
Chorus-AIDLC/Chorus	main	ok	1559	ca71801580f9b674f08ae3bff87d9a9b1e9d764822196fafd51f1f7f0e6ba3ed
peteromallet/desloppify	main	ok	1691	79ce3aff100ea74d5b426ff7760ab11a770df2fd10bb2f3df168d1728deb2d0a
SponsioLabs/Sponsio	main	ok	567	77afcc6c687822bed1312aa1fc0f9f0d44ccdf9d9b91e8d84a843f95ca217fc1
exon-research/genomi	master	ok	459	4f87140d88bd93aefa5fedff6f606f4a3efa4cc980adac941270b50430f60ce3
agentic-in/inferoa	main	ok	295	8a0572dabbbda94ed09cb83672ffd22e8226bbf87a3ec9f9226c4ca0f14d3ce4
desplega-ai/agent-swarm	main	ok	2564	4ed09c951e9f26f3f213e498c19dea6bdd318947e02cf7f5566c3bf48497a9c9
deonmenezes/mantishack	main	ok	5393	0a611ad099c8b077d85002c51761588a16429f62dc7e57b4d657118654fa850c
Gloriaameng/Awesome-Agent-Harness	main	ok	11	d51123135e5d2865a8817d2e4c8f827057ec6f73409bef10705028472c8f7b5b
shamspias/customizable-gpt-chatbot	main	ok	138	4e7fc5b9bcb312217621fc2369e28dae9ec167ef2744987ce6683b6ba830e92b
manthanguptaa/water	main	ok	274	22c8b8103a4dfda32a610c2174b8a3d91685a90a47e6e4f89e31759d55b949ab
clawdotnet/openclaw.net	main	ok	1498	ad0361681febe013dce7906e1729d3bffccaa8898d2f62d6de0128d0122189f4
RyanAlberts/best-of-Agent-Harnesses	main	ok	70	3503375b8ee86e34e08c159eacd6ffbda33b909a17357e53c6e767768e509b44
limecloud/lime	main	ok	7686	15edc250807ef95f284378698f622d62b5bb59b22147cbd69f3cc157d632cc63
LearnPrompt/cc-harness-skills	main	ok	43	3f546b2e838dc8f54d07e76d45112dcddebaa16d888d76fb0ac477bfd1d85f1f
0xNyk/lacp	main	ok	462	3f6945caf1ee6999b23e10303367dc10f7065f1f5eb0c2145ab81670d09be222
omnirexflora-labs/omnicoreagent	main	ok	374	ddf580725cc62426b06f5a9ad61387f64bc1c1b8d79ac66d5b22a8108abddd6c
Intelligent-Internet/zenith	main	ok	84	2b3d53d81bc9d28a7185764f913ed70c12abd879fd23159945a956004aee3786
ReinaMacCredy/maestro	main	ok	626	b123e273d81d3ca1d43b3726554b0cb7505155e6b4c28ce13ff5bbd9333d3834
enmanuelmag/agent-harness-kit	main	ok	135	77db84cf934d424ece3d89d979f72484d91b3c5e0299d65484163de2916cfbde
sd0xdev/sd0x-dev-flow	main	ok	689	d6738f3569895606d9e4a288ccde9e29546bc33f8c2108a641517ebf92ee0420
Magma1321/mythos-agent-pipe	main	ok	6	b21d610eac69fdda36edc544974e3140dc419ce7306f3a845bee5aa695b90c11
